Date,Open,High,Low,Close,Adj Close,Volume
2023-02-02,60.799999,61.020000,59.910000,60.279999,58.436371,16947200
2023-02-03,60.349998,60.419998,59.230000,59.830002,58.000137,15404400
2023-02-06,59.790001,60.340000,59.720001,60.169998,58.329739,11330900
2023-02-07,59.669998,60.240002,59.540001,60.070000,58.232796,14922700
2023-02-08,59.919998,59.919998,59.590000,59.720001,57.893501,11012000
2023-02-09,60.150002,60.320000,59.599998,59.619999,57.796555,12515300
2023-02-10,59.720001,59.900002,58.880001,59.619999,57.796555,14420700
2023-02-13,59.900002,60.759998,59.730000,60.599998,58.746590,16191800
2023-02-14,60.209999,60.900002,59.560001,59.590000,57.767479,20505700
2023-02-15,59.900002,59.930000,59.230000,59.590000,57.767479,13171400
2023-02-16,59.230000,59.820000,58.950001,59.220001,57.408798,16538300
2023-02-17,59.500000,60.230000,59.380001,60.119999,58.281265,16814700
2023-02-21,59.990002,60.230000,59.720001,59.799999,57.971054,14278300
2023-02-22,59.849998,60.360001,59.750000,59.980000,58.145546,12409600
2023-02-23,60.009998,60.419998,59.810001,60.090000,58.252190,12222800
2023-02-24,59.680000,59.910000,59.389999,59.840000,58.009838,9736200
2023-02-27,60.180000,60.299999,59.740002,59.820000,57.990440,8849800
2023-02-28,59.700001,59.700001,59.139999,59.509998,57.689922,16082200
2023-03-01,59.130001,59.180000,58.369999,58.860001,57.059799,13275800
2023-03-02,58.840000,59.779999,58.799999,59.720001,57.893501,11758300
2023-03-03,59.549999,59.680000,59.209999,59.439999,57.622063,13101800
2023-03-06,59.259998,60.380001,59.220001,60.360001,58.513927,16282700
2023-03-07,60.490002,60.570000,59.750000,60.009998,58.174633,13961200
2023-03-08,60.040001,60.330002,59.730000,60.040001,58.203716,10851600
2023-03-09,60.540001,60.540001,59.279999,59.459999,57.641453,13900900
2023-03-10,59.700001,60.139999,58.990002,59.209999,57.399097,13745800
2023-03-13,59.290001,60.869999,59.250000,59.810001,57.980751,21956000
2023-03-14,60.000000,60.459999,59.349998,60.029999,58.194019,19496900
2023-03-15,59.430000,60.480000,59.240002,60.430000,58.581787,21089900
2023-03-16,60.090000,60.340000,59.700001,60.299999,58.904148,15658300
2023-03-17,60.310001,60.349998,59.639999,60.020000,58.630627,27351200
2023-03-20,60.160000,60.599998,59.970001,60.599998,59.197201,12904100
2023-03-21,60.570000,60.750000,59.880001,60.320000,58.923683,13716500
2023-03-22,60.400002,60.869999,60.029999,60.049999,58.659935,10494200
2023-03-23,60.090000,60.389999,59.720001,59.919998,58.532944,15479000
2023-03-24,60.250000,61.020000,59.910000,60.900002,59.490261,12975600
2023-03-27,61.139999,61.480000,60.950001,61.349998,59.929840,12777400
2023-03-28,61.389999,61.740002,61.270000,61.419998,59.998219,10925700
2023-03-29,61.720001,61.950001,61.590000,61.860001,60.428036,9441000
2023-03-30,61.880001,62.090000,61.660000,61.849998,60.418266,9870700
2023-03-31,62.060001,62.250000,61.869999,62.029999,60.594101,14440900
2023-04-03,62.299999,62.520000,61.860001,62.400002,60.955536,12300700
2023-04-04,62.389999,62.740002,62.080002,62.209999,60.769936,11433400
2023-04-05,62.529999,63.020000,62.500000,62.799999,61.346275,12789600
2023-04-06,62.860001,63.040001,62.380001,62.840000,61.385349,9644200
2023-04-10,62.490002,62.689999,62.020000,62.689999,61.238823,7952600
2023-04-11,62.650002,62.709999,62.400002,62.580002,61.131371,9913000
2023-04-12,62.480000,63.029999,62.310001,62.689999,61.238823,9593700
2023-04-13,62.759998,63.160000,62.480000,63.150002,61.688175,9871400
2023-04-14,63.049999,63.150002,62.779999,63.049999,61.590488,8946000
2023-04-17,63.320000,63.529999,63.139999,63.459999,61.991001,9452400
2023-04-18,63.509998,63.599998,63.189999,63.560001,62.088684,9035700
2023-04-19,63.730000,63.830002,63.430000,63.680000,62.205906,9769500
2023-04-20,63.630001,64.000000,63.439999,63.959999,62.479424,10706400
2023-04-21,64.000000,64.269997,63.799999,64.050003,62.567345,12931100
2023-04-24,64.750000,64.989998,63.619999,63.950001,62.469658,15532300
2023-04-25,64.169998,64.169998,63.630001,63.849998,62.371967,12818900
2023-04-26,63.560001,63.770000,63.389999,63.549999,62.078918,13179600
2023-04-27,63.529999,63.759998,63.110001,63.680000,62.205906,13795800
2023-04-28,63.610001,64.160004,63.480000,64.150002,62.665028,13686700
2023-05-01,64.150002,64.690002,64.059998,64.300003,62.811558,9091500
2023-05-02,64.139999,64.139999,63.270000,64.010002,62.528267,10948400
2023-05-03,64.019997,64.180000,63.580002,63.650002,62.176601,11084600
2023-05-04,63.740002,63.930000,63.509998,63.720001,62.244980,11938300
2023-05-05,63.639999,64.209999,63.630001,64.019997,62.538033,9037300
2023-05-08,63.810001,64.059998,63.610001,63.919998,62.440350,7240700
2023-05-09,63.639999,63.750000,63.279999,63.389999,61.922619,9067700
2023-05-10,63.320000,63.639999,62.990002,63.500000,62.030071,10134000
2023-05-11,63.580002,63.930000,63.009998,63.860001,62.381737,9581500
2023-05-12,63.860001,64.190002,63.700001,64.110001,62.625954,8739600
2023-05-15,64.220001,64.250000,63.709999,63.939999,62.459885,8150000
2023-05-16,63.900002,63.900002,63.160000,63.220001,61.756554,9129600
2023-05-17,63.400002,63.419998,62.730000,63.150002,61.688175,11583000
2023-05-18,63.009998,63.040001,62.570000,62.799999,61.346275,13595100
2023-05-19,63.040001,63.099998,62.610001,62.830002,61.375584,14242100
2023-05-22,62.790001,62.869999,61.439999,61.509998,60.086136,15055400
2023-05-23,61.509998,61.669998,61.169998,61.400002,59.978687,13932700
2023-05-24,61.380001,61.430000,60.720001,60.880001,59.470722,11090100
2023-05-25,60.470001,60.730000,60.150002,60.410000,59.011600,14463600
2023-05-26,60.450001,60.639999,60.110001,60.259998,58.865070,12570300
2023-05-30,60.090000,60.200001,59.520000,59.779999,58.396183,15634200
2023-05-31,59.919998,60.279999,59.369999,59.660000,58.278961,59432200
2023-06-01,59.939999,60.169998,59.770000,60.000000,58.611095,13402700
2023-06-02,60.270000,61.320000,60.080002,61.160000,59.744240,15256300
2023-06-05,61.000000,61.439999,60.549999,60.750000,59.343727,12915600
2023-06-06,60.950001,60.990002,60.119999,60.310001,58.913914,10943500
2023-06-07,60.009998,60.360001,59.820000,60.220001,58.826000,16817900
