Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02,1.540000,1.715000,1.540000,1.700000,1.700000,14683400
2023-11-03,1.720000,1.875000,1.710000,1.850000,1.850000,14662700
2023-11-06,1.840000,1.860000,1.650000,1.690000,1.690000,10290100
2023-11-07,1.680000,1.770000,1.670000,1.740000,1.740000,8969800
2023-11-08,1.690000,1.700000,1.540000,1.560000,1.560000,11611400
2023-11-09,1.810000,2.080000,1.760000,1.860000,1.860000,37491000
2023-11-10,1.890000,1.910000,1.770000,1.790000,1.790000,12032400
2023-11-13,1.770000,1.920000,1.710000,1.890000,1.890000,10453500
2023-11-14,1.980000,2.130000,1.970000,2.130000,2.130000,16687200
2023-11-15,2.180000,2.355000,2.170000,2.190000,2.190000,18378200
2023-11-16,2.160000,2.188000,2.000000,2.080000,2.080000,9320600
2023-11-17,2.110000,2.210000,2.070000,2.190000,2.190000,9446800
2023-11-20,2.240000,2.300000,2.200000,2.250000,2.250000,9113900
2023-11-21,2.220000,2.220000,2.060000,2.130000,2.130000,7985200
2023-11-22,2.020000,2.080000,1.915000,1.990000,1.990000,11177500
2023-11-24,1.910000,2.110000,1.890000,2.100000,2.100000,6488300
2023-11-27,2.070000,2.089000,1.975000,2.070000,2.070000,8956500
2023-11-28,2.040000,2.140000,1.980000,2.120000,2.120000,9996300
2023-11-29,2.150000,2.260000,2.120000,2.200000,2.200000,10875500
2023-11-30,2.230000,2.280000,2.140000,2.230000,2.230000,10559700
2023-12-01,2.190000,2.350000,2.175000,2.340000,2.340000,11215700
2023-12-04,1.980000,2.130000,1.920000,1.930000,1.930000,28098600
2023-12-05,1.910000,1.930000,1.840000,1.910000,1.910000,9874900
2023-12-06,1.940000,2.140000,1.930000,2.020000,2.020000,18820800
2023-12-07,2.020000,2.240000,1.990000,2.230000,2.230000,16445200
2023-12-08,2.210000,2.340000,2.160000,2.330000,2.330000,14202000
2023-12-11,2.250000,2.360000,2.240000,2.320000,2.320000,10658000
2023-12-12,2.340000,2.340000,2.170000,2.230000,2.230000,8427000
2023-12-13,2.220000,2.460000,2.160000,2.450000,2.450000,15711900
